FIA_Code,CommonName,ScientificName,USDASP
010,Fir Spp.,Abies,ABIES
011,Pacific silver fir,Abies amabilis,ABAM
012,Balsam Fir,Abies balsamea (L.) Mill.,ABBA
014,bristlecone fir,Abies bracteata,ABBR
015,white fir,Abies concolor,ABCO
016,Fraser Fir,Abies fraseri (Pursh) Poir.,ABFR
017,grand fir,Abies grandis,ABGR
018,corkbark fir,Abies lasiocarpa var. arizonica,ABLAA
019,subalpine fir,Abies lasiocarpa,ABLA
020,California red fir,Abies magnifica,ABMA
021,Shasta red fir,Abies ×shastensis,ABSH
022,noble fir,Abies procera,ABPR
040,Cedar species,Chamaecyparis spp.,CHAMA4
041,Port Orford cedar,Chamaecyparis lawsoniana,CHLA
042,Alaska cedar,Callitropsis nootkatensis,CANO9
043,Atlantic White-Cedar,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",CHTH2
050,cypress species,Cupressus,CUPRE
051,Arizona cypress,Cupressus arizonica,CUAR
052,Modoc cypress,Cupressus bakeri,CUBA
053,tecate cypress,Cupressus forbesii,CUFO2
054,Monterey cypress,Cupressus macrocarpa,CUMA2
055,Sargent's cypress,Cupressus sargentii,CUSA3
056,MacNab's cypress,"Cupressus macnabiana, DW Added",Cu-Ma
057,juniper species,Juniperus,JUNIP
058,Pinchot's juniper,Juniperus pinchotii,JUPI
059,redberry juniper,Juniperus coahuilensis,JUCO11
060,Drooping Juniper,Juniperus flaccida,Dr-Ju
061,Ashe Juniper,Juniperus ashei J. Buchholz,JUAS
062,California juniper,Juniperus californica,JUCA7
063,alligator juniper,Juniperus deppeana,JUDE2
064,western juniper,Juniperus occidentalis,JUOC
065,Utah juniper,Juniperus osteosperma,JUOS
066,Rocky Mountain juniper,Juniperus scopulorum,JUSC2
067,Southern Redcedar,Juniperus virginiana L. var. silicicola (Small) J. Silba,JUVIS
068,eastern redcedar,Juniperus virginiana,JUVI
069,oneseed juniper,Juniperus monosperma,JUMO
070,larch species,Larix,LARIX
071,tamarack,Larix laricina,LALA
072,subalpine larch,Larix lyallii,LALY
073,western larch,Larix occidentalis,LAOC
081,incense cedar,Calocedrus decurrens,CADE27
090,spruce species,Picea,PICEA
091,Norway Spruce,Picea abies (L.) Karst.,PIAB
092,Brewer spruce,Picea breweriana,PIBR
093,Engelmann spruce,Picea engelmannii,PIEN
094,white spruce,Picea glauca,PIGL
095,black spruce,Picea mariana,PIMA
096,blue spruce,Picea pungens,PIPU
097,Red Spruce,Picea rubens Sarg.,PIRU
098,Sitka spruce,Picea sitchensis,PISI
100,pine species,Pinus,PINUS
101,whitebark pine,Pinus albicaulis,PIAL
102,bristlecone pine,Pinus aristata,PIAR
103,knobcone pine,Pinus attenuata,PIAT
104,foxtail pine,Pinus balfouriana,PIBA
105,Jack Pine,Pinus banksiana Lamb.,PIBA2
106,common or Twoneedle pinyon,Pinus edulis,PIED
107,Sand Pine,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,PICL
108,lodgepole pine,Pinus contorta,PICO
109,Coulter pine,Pinus coulteri,PICO3
110,Shortleaf Pine,Pinus echinata Mill.,PIEC2
111,Slash Pine,Pinus elliottii Engelm.,PIEL
112,Apache pine,Pinus engelmannii,PIEN2
113,limber pine,Pinus flexilis,PIFL2
114,southwestern white pine,Pinus strobiformis,PIST3
115,Spruce Pine,Pinus glabra Walter,PIGL2
116,Jeffrey pine,Pinus jeffreyi,PIJE
117,sugar pine,Pinus lambertiana,PILA
118,Chihuahuan pine,Pinus leiophylla var. chihuahuana,PILEC
119,western white pine,Pinus monticola,PIMO3
120,Bishop pine,Pinus muricata,PIMU
121,Longleaf Pine,Pinus palustris Mill.,PIPA2
122,ponderosa pine,Pinus ponderosa,PIPO
123,Table Mtn Pine,Pinus pungens Lamb.,PIPU5
124,Monterey pine,Pinus radiata,PIRA2
125,Red Pine,Pinus resinosa Aiton,PIRE
126,Pitch Pine,Pinus rigida Mill.,PIRI
127,California foothill pine,Pinus sabiniana,PISA2
128,Pond Pine,Pinus serotina Michx.,PISE
129,Eastern White Pine,Pinus strobus L.,PIST
130,Scotch pine,Pinus sylvestris,PISY
131,Loblolly Pine,Pinus taeda L.,PITA
132,Virginia Pine,Pinus virginiana Mill.,PIVI2
133,singleleaf pinyon,Pinus monophylla,PIMO
134,border pinyon,Pinus discolor,PIDI3
135,Arizona pine,Pinus arizonica,PIAR5
136,Austrian pine,Pinus nigra,PINI
137,Washoe pine,Pinus washoensis,PIWA
138,Parry pinyon,Pinus quadrifolia,PIQU
139,Torrey pine,Pinus torreyana,PITO
